machine;description;nature;excution;frequency;nextExecution
M07;CREMALHEIRAS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;ENGRENAGENS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;ENGRENAGENS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;ENGRENAGENS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;ENGRENAGENS;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO;M;17
M07;POLIA;MECÂNICO;REAPERTO/LUBRIFICAÇÃO;A;20
M07;POLIA;MECÂNICO;REAPERTO/LUBRIFICAÇÃO;A;20
M07;POLIA;MECÂNICO;REAPERTO/LUBRIFICAÇÃO;A;20
M07;POLIA;MECÂNICO;REAPERTO/LUBRIFICAÇÃO;A;20
M07;CABO DE AÇO;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO/TROCA;A;20
M07;CABO DE AÇO;MECÂNICO;INSPEÇÃO/LUBRIFICAÇÃO/TROCA;A;20
M07;BOTOEIRA DE EMERGÊNCIA;ELÉTRICO;INSPEÇÃO/REAPERTO DOS BORNES;3M;22
M07;BOTÃO LUMINOSO DO RESET DA CORTINA;ELÉTRICO;INSPEÇÃO/REAPERTO DOS BORNES;3M;22
M07;BOTÃO LUMINOSO DE START;ELÉTRICO;INSPEÇÃO/REAPERTO DOS BORNES;3M;22
M07;BOTÃO DE ACIONAR A ESTEIRA;ELÉTRICO;INSPEÇÃO/REAPERTO DOS BORNES;3M;22
M07;BOTÃO DE RESET;ELÉTRICO;INSPEÇÃO/REAPERTO DOS BORNES;3M;22
M07;MANGUEIRA PNEUMÁTICA 10MM;MECÂNICO;INSPEÇÃO/TROCA;6M;20
M07;MANGUEIRA PNEUMÁTICA 10MM;MECÂNICO;INSPEÇÃO/TROCA;6M;20
M07;MANGUEIRA PNEUMÁTICA 10MM;MECÂNICO;INSPEÇÃO/TROCA;6M;20
M07;MANGUEIRA PNEUMÁTICA 10MM;MECÂNICO;INSPEÇÃO/TROCA;6M;20
M07;SUPORTE DAS GARRAS;MECÂNICO;INSPEÇÃO/REAPERTO/LUBRIFICAÇÃO;A;20
